ITEM CODE,ITEM DESCRIPTION,MODEL,DATE,ACTUAL,FORECAST
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-03-01,0.0,124.14260539251303
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-06-01,10747.46,78.68820194306853
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,2026-07-01,9217.42,552.8657830360461
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-02-01,0.0,122.50368150842752
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-03-01,0.0,80.53184225198126
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-04-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-05-01,0.0,0.0
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-06-01,10747.46,84.46402988945067
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,2026-07-01,9217.42,523.6769244468002
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-02-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-03-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-04-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-05-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-06-01,2191.77,0.0
90468,BUD LIGHT 30PK CAN,Naive Seasonal,2026-07-01,2008.97,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-02-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-03-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-04-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-05-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-06-01,2191.77,0.0
90468,BUD LIGHT 30PK CAN,Holt-Winters,2026-07-01,2008.97,67.59427042402069
90468,BUD LIGHT 30PK CAN,SARIMA,2026-02-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,SARIMA,2026-03-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,SARIMA,2026-04-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,SARIMA,2026-05-01,0.0,0.0
90468,BUD LIGHT 30PK CAN,SARIMA,2026-06-01,2191.77,0.0
90468,BUD LIGHT 30PK CAN,SARIMA,2026-07-01,2008.97,132.62510487861792
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-06-01,8947.96,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2026-07-01,8986.84,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-03-01,0.0,53.38598026325023
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-06-01,8947.96,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2026-07-01,8986.84,618.2016570663992
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-02-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-03-01,0.0,72.29833595959396
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-04-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-05-01,0.0,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-06-01,8947.96,0.0
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2026-07-01,8986.84,512.5710183252506
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-06-01,2914.81,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,2026-07-01,2741.4,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-06-01,2914.81,0.0
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,2026-07-01,2741.4,73.6715011678574
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-02-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-03-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-04-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-05-01,0.0,0.0
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-06-01,2914.81,0.0
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,2026-07-01,2741.4,229.00508298849695
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-06-01,5618.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,2026-07-01,5281.5,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-03-01,0.0,4.2505969684570815
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-06-01,5618.0,102.57707773126401
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,2026-07-01,5281.5,643.2447374207377
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-02-01,0.0,245.62438512044082
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-03-01,0.0,3.214846520012339
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-04-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-05-01,0.0,0.0
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-06-01,5618.0,168.45901852972656
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,2026-07-01,5281.5,572.5037144708838
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-02-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-03-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-04-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-05-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-06-01,3165.33,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,2026-07-01,2927.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Holt-Winters,2026-02-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Holt-Winters,2026-03-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Holt-Winters,2026-04-01,0.0,0.0
23314,CORONA EXTRA 18PK NR - 12OZ,Holt-Winters,2026-05-01,0.0,0.0
